generation,training_chunk,trial,LR,optimization_metric_name,optimization_metric_value,total_mistag_score
30,30,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.37105717534028476,0.37105717534028476
30,30,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3619712037818738,0.3619712037818738
30,30,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3573498182434708,0.3573498182434708
31,31,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.350445825680414,0.350445825680414
31,31,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34711706865483966,0.34711706865483966
31,31,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36877937089102236,0.36877937089102236
31,31,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.362864811832913,0.362864811832913
31,31,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3552595803689465,0.3552595803689465
32,32,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.35356032097508355,0.35356032097508355
32,32,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34876791726906764,0.34876791726906764
32,32,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36839018178168914,0.36839018178168914
32,32,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.36300248321883916,0.36300248321883916
32,32,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3576842740267147,0.3576842740267147
33,33,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.35078066858225937,0.35078066858225937
33,33,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34650139164685734,0.34650139164685734
33,33,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.37060120981713957,0.37060120981713957
33,33,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.36470379167520384,0.36470379167520384
33,33,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3538192219441128,0.3538192219441128
34,34,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3467014045663091,0.3467014045663091
34,34,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3462756273592917,0.3462756273592917
34,34,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36896950632141207,0.36896950632141207
34,34,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3607842353897223,0.3607842353897223
34,34,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.35533635632111255,0.35533635632111255
35,35,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3481471246493289,0.3481471246493289
35,35,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34691510216547733,0.34691510216547733
35,35,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36837167204288895,0.36837167204288895
35,35,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.35697836665741445,0.35697836665741445
35,35,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.354342019224279,0.354342019224279
36,36,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34670321026437156,0.34670321026437156
36,36,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3446894692225022,0.3446894692225022
36,36,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3690070068400285,0.3690070068400285
36,36,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3595761487574863,0.3595761487574863
36,36,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.353425322033711,0.353425322033711
37,37,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.34674426290057736,0.34674426290057736
