source_run,generation,training_chunk,trial,LR,optimization_metric_name,optimization_metric_value,total_mistag_score
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,25,25,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3480329953035022,0.3480329953035022
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,26,26,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3481977208768899,0.3481977208768899
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,27,27,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3478000836789812,0.3478000836789812
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,28,28,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34784038766234826,0.34784038766234826
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,29,29,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34478762924973444,0.34478762924973444
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,30,30,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3459223740936037,0.3459223740936037
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,31,31,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34553571975201874,0.34553571975201874
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,32,32,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3454179393757721,0.3454179393757721
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,33,33,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3442927614314718,0.3442927614314718
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,34,34,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3447035844824838,0.3447035844824838
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,35,35,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34523832924612075,0.34523832924612075
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,36,36,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34705916822493604,0.34705916822493604
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,37,37,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3458344957497811,0.3458344957497811
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,38,38,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3460132589377949,0.3460132589377949
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,39,39,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34575029398326784,0.34575029398326784
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,40,40,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34290806159371257,0.34290806159371257
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,41,41,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3449408176721578,0.3449408176721578
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,42,42,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3426810655199737,0.3426810655199737
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,43,43,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34247360418642603,0.34247360418642603
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,44,44,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3416205442487251,0.3416205442487251
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,45,45,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3419364626414658,0.3419364626414658
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,46,46,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3437273800959358,0.3437273800959358
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,47,47,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3414389999333684,0.3414389999333684
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,48,48,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3428035154037052,0.3428035154037052
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,49,49,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.33905881927830084,0.33905881927830084
